Line Number,Action,Status,ErrorCode,ErrorMessage,WarningCode,WarningMessage,Code,Message,ItemID,ReferenceID,ApplicationData,StartTime,EndTime,AuctionLengthFee,BoldFee,BorderFee,BuyItNowFee,CategoryFeaturedFee,CurrencyID,FeaturedFee,FeaturedGalleryFee,FixedPriceDurationFee,GalleryFee,GiftIconFee,HighlightFee,InsertionFee,InternationalInsertionFee,ListingDesignerFee,ListingFee,PhotoDisplayFee,PhotoFee,ProPackBundleFee,ReserveFee,SchedulingFee,SubtitleFee,CustomLabel,PrivateNotes,BasicUpgradePackBundleFee,ValuePackBundleFee,ProPackPlusBundleFee,SellerInventoryID,CrossBorderTradeNorthAmericaFee,CrossBorderTradeGBFee,RefundFromSeller,TotalRefundToBuyer,CorrelationID
2,Add,Failure,21920350|21916883|21919303,"Error - Condition information 2500 does not exists or is not a valid condition for category 261328.|Condition information 2500 is not valid for category 261328.|Condition information 2500 does not exists or is not a valid condition for category 261328.|2500||Error - The provided condition id is invalid for the selected primary category id.||Error - The item specific Sport is missing. Add Sport to this listing, enter a valid value, and then try again.|The item specific Sport is missing.|The item specific Sport is missing. Add Sport to this listing, enter a valid value, and then try again.|Sport|",21917236,Warning - Funds from your sales may be unavailable and show as on hold for a period of time. Learn more:https://www.ebay.com/help/selling/getting-paid/getting-paid-items-youve-sold/pending-payments?id=4816|Funds from your sales may be unavailable and show as on hold for a period of time.|Funds from your sales may be unavailable and show as on hold for a period of time. Learn more:https://www.ebay.com/help/selling/getting-paid/getting-paid-items-youve-sold/pending-payments?id=4816|PayPalHold|https://www.ebay.com/help/selling/getting-paid/getting-paid-items-youve-sold/pending-payments?id=4816||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266510d4-20a8-4b7d-9ad8-adeff3475f51,,,,,,,,,,
3,Add,Failure,21920350|21916883|21919303,"Error - Condition information 2500 does not exists or is not a valid condition for category 261328.|Condition information 2500 is not valid for category 261328.|Condition information 2500 does not exists or is not a valid condition for category 261328.|2500||Error - The provided condition id is invalid for the selected primary category id.||Error - The item specific Sport is missing. Add Sport to this listing, enter a valid value, and then try again.|The item specific Sport is missing.|The item specific Sport is missing. Add Sport to this listing, enter a valid value, and then try again.|Sport|",21917236,Warning - Funds from your sales may be unavailable and show as on hold for a period of time. Learn more:https://www.ebay.com/help/selling/getting-paid/getting-paid-items-youve-sold/pending-payments?id=4816|Funds from your sales may be unavailable and show as on hold for a period of time.|Funds from your sales may be unavailable and show as on hold for a period of time. Learn more:https://www.ebay.com/help/selling/getting-paid/getting-paid-items-youve-sold/pending-payments?id=4816|PayPalHold|https://www.ebay.com/help/selling/getting-paid/getting-paid-items-youve-sold/pending-payments?id=4816||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206b6d57-a5e8-42a9-979b-1618113fe071,,,,,,,,,,
